feature,imp_RF,corr_max_V4,correlata_V4,motivo
l3.median,0.0032814455169719765,0.8568679762879448,l1.mean,Redundante (cortada no filtro de correlacao V3)
range.min,0.0032571858474482822,0.8321385804670082,cov.max,Redundante (cortada no filtro de correlacao V3)
leaves_homo.kurtosis,0.003232645124406794,0.6190790426789948,freq_class.kurtosis,Nao escolhida pelo GA (redundante no conjunto)
leaves_per_class.min,0.003201272008983375,0.7652141090751015,f3.min,Nao escolhida pelo GA (redundante no conjunto)
skewness.mean,0.0031998048159643942,0.3759181164690331,c1,Nao escolhida pelo GA (redundante no conjunto)
linear_discr.kurtosis,0.0031888958300863657,0.22923909004583068,attr_ent.iq_range,Nao escolhida pelo GA (redundante no conjunto)
t1,0.003163245763401554,0.7365461207543045,n2.mean,Nao escolhida pelo GA (redundante no conjunto)
elite_nn.iq_range,0.003162710083811546,0.7540753474872846,elite_nn.sd,Nao escolhida pelo GA (redundante no conjunto)
median.max,0.003148543205763626,0.8735019250974473,iq_range.sd,Redundante (cortada no filtro de correlacao V3)
sd.median,0.003087369590483,0.8324697017167094,cov.max,Redundante (cortada no filtro de correlacao V3)
mean.kurtosis,0.0030472675626302794,0.8945786962500444,max.kurtosis,Nao escolhida pelo GA (redundante no conjunto)
sparsity.mean,0.0030451201756517316,0.7003685191002816,sparsity.min,Nao escolhida pelo GA (redundante no conjunto)
leaves_branch.sd,0.0030326338559256622,0.7291341429180674,tree_imbalance.skewness,Nao escolhida pelo GA (redundante no conjunto)
f1.mean,0.0030251399156776076,0.8477658377475116,mut_inf.mean,Nao escolhida pelo GA (redundante no conjunto)
naive_bayes.mean,0.0030225847225243308,0.6032913563897887,can_cor.mean,Nao escolhida pelo GA (redundante no conjunto)
attr_ent.mean,0.0029620752864649358,0.76274032517405,attr_ent.min,Nao escolhida pelo GA (redundante no conjunto)
var.median,0.0029462005005074714,0.8324309932683763,cov.max,Redundante (cortada no filtro de correlacao V3)
tree_depth.mean,0.002936365542920649,0.6947442686184879,tree_imbalance.skewness,Redundante (cortada no filtro de correlacao V3)
median.sd,0.0029335977074603113,0.9914110890815772,iq_range.sd,Redundante (cortada no filtro de correlacao V3)
nr_outliers,0.0029181222545523193,0.5104395497845461,t4,Nao escolhida pelo GA (redundante no conjunto)
cov.median,0.0029151833212725836,0.8324251233987722,cov.max,Redundante (cortada no filtro de correlacao V3)
var.mean,0.0028966464976018526,0.8364762712997957,cov.max,Redundante (cortada no filtro de correlacao V3)
lsc,0.0028868297897278613,0.5030848750574618,l1.max,Nao escolhida pelo GA (redundante no conjunto)
f1.median,0.002863627130604696,0.8177592859073105,mut_inf.mean,Redundante (cortada no filtro de correlacao V3)
cls_coef,0.0028538282157239097,0.5558035222748859,mut_inf.mean,Nao escolhida pelo GA (redundante no conjunto)
